#separator:Tab
#notetype:中文詞彙
#tags:書法
#columns:trad	simp	py	def
須知	须知	xū zhī	① 應該知道，一定要知道。如：「須知人言可畏，凡事不可不慎。」似：應知② 為使人於某事項之程序及辦法知所遵守者。如：「考試須知」、「國民生活須知」。
臨帖	临帖	lín tiè	就名人字帖臨摹的學習書法方式。紅樓夢．第七十回：「至次日起來梳洗了，便在窗下研墨，恭楷臨帖。」文明小史．第二十八回：「東卿正在書房裡臨帖哩。」
歐陽詢	欧阳询	ōu yáng xún	人名。（西元557∼641）字信本，唐臨湘（今湖南省長沙縣）人。唐代名臣及大書法家，官至太子率更令，封渤海縣男。書法初仿羲之、獻之，並受北朝剛銳險勁的碑刻影響，書體遒勁刻厲，自成一家，名曰率更體或歐體。與虞世南、褚遂良、薛稷並稱為「唐初四大書家」。其子歐陽通亦善書，世稱大歐、小歐。代表碑帖有化度寺碑、九成宮醴泉銘、溫彥博碑、皇甫誕碑。
泉	泉	quán	<名> ① 水的源頭。文選．曹冏．六代論：「夫泉竭則流涸。」宋．歐陽修．醉翁亭記：「峰回路轉，有亭翼然，臨於泉上者，醉翁亭也。」② 地下水。宋．蘇軾．潮州韓文公廟碑：「譬如鑿井得泉，而曰水專在是，豈理也哉？」③ 人死後所在的地方。如：「黃泉」、「九泉」。文選．王粲．七哀詩二首之一：「悟彼下泉人，喟然傷心肝。」唐．白居易．夜遇微之於峽中詩：「往事渺茫都似夢，舊遊流落半歸泉。」④ 古代的錢幣。錢的流行像泉水一樣，故稱為「泉」。如：「泉布」、「刀泉」、「貨泉」。管子．輕重丁：「凡稱貸之家，出泉參千萬，出粟參數千萬鍾。」⑤ 姓。如唐代有泉男生。
銘	铭	míng	◆ <名> 文體名。刻在器物或石碑上，警惕自己或讚頌他人的文字。如：「座右銘」、「墓誌銘」。◆ <動> 刻鏤。如：「永銘心版」。唐．柳宗元．謝除柳州刺史表：「銘心鏤骨，無報上天。」三國演義．第六十回：「金石之言，當銘肺腑。」
露鋒	露锋	lù fēng	寫書法時，筆管斜執，筆鋒偏就一邊，此種筆法稱為「露鋒」。反：藏鋒
方筆	方笔	fāng bǐ	筆畫的形體之一。也就是每一筆畫在碰到下筆收筆、轉折或是頓筆等地方，都是利用迴筆或是按筆頓筆，把它寫成帶有稜角的形狀使筆畫看起來方銳，而為著配合這種筆畫，在整個字的間架上，也就需要以方挺的結體來配合。
清晰	清晰	qīng xī	清楚明白。如：「口齒清晰」、「條理清晰」、「畫面清晰」。似：明瞭、明晰、了然、清楚反：模糊、朦朧、籠統、含糊、含混、混沌、微茫
佳	佳	jiā	◆ <形> 美、好。如：「佳人」、「佳景」、「佳音」。文選．曹植．與楊德祖書：「文之佳惡，吾自得之。」文選．陶淵明．雜詩二首之一：「山氣日夕佳，飛鳥相與還。」◆ <名> 姓。如明代有佳正。
拓本	拓本	tà běn	指從石碑上拓印下來的紙本。拓印時先將紙張浸溼，敷在碑刻或金石文物上，用毛刷刷平，此時凹刻的字跡、圖案處便會凹下去。等紙晾乾後，再以毛包拍打碑面上墨，平坦的地方烏黑一片，有字跡的地方則是空白。墨乾後將紙揭起，整平，即完成摹印的工作。如曹全碑拓本、玄秘塔碑拓本。
鐫刻	镌刻	juān kè	雕刻。後漢書．卷六十下．蔡邕傳：「邕乃自書丹於碑，使工鐫刻立於太學門外。」似：雕刻
技術	技术	jì shù	專業的技能。史記．卷一二九．貨殖傳：「醫方諸食技術之人，焦神極能，為重糈也。」清．侯方域．再與賈三兄書：「蓋足下之性好新異，喜技術，作之不必果成，成之不必果用，然凡可以嘗試為之者，莫不為之。」似：工夫、技能、技巧、技藝、手藝
毫髮	毫发	háo fǎ	毫毛及頭髮。比喻極少的數量。漢．王充．論衡．齊世：「方今聖明，承光武，襲孝明，有浸酆溢美之化，無細小毫髮之虧。」三國演義．第二十五回：「昨日曹軍入城，我等皆以為必死；誰想毫髮不動，一軍不敢入門。」
舛	舛	chuǎn	◆ <動> 乖違、違背。南朝梁．劉勰．文心雕龍．諸子：「嗟夫身與時舛，志共道申，標心於萬古之上，而送懷於千載之下。」◆ <形> ① 不順利、困厄。唐．王勃．滕王閣序：「嗟乎！時運不齊，命途多舛。」② 錯誤、錯亂。南朝梁．沈約．齊故安陸昭王碑文：「刑政繁舛，舊難詳一。」新唐書．卷一九六．隱逸傳．陸龜蒙傳：「借人書，篇帙壞舛，必為輯褫刊正。」◆ <名> 二一四部首之一。
拓碑	拓碑	tà bēi	拓印碑刻、金石文物時，用木槌均勻輕輕拍打拓紙，使顯出字形的過程稱為「拓碑」。亦作「打碑」。
精細	精细	jīng xì	① 精緻細密。三國志．卷六十二．吳書．是儀傳：「服不精細，食不重膳。」南齊書．卷四十八．孔稚珪傳：「律書精細，文約例廣。」似：精密、細密、邃密、精美、精巧反：粗略、粗疏、粗陋、粗糙亦作「細兒」。② 細心、聰明。三國演義．第八十七回：「汝這廝不精細，如何做得細作！」水滸傳．第二十四回：「好個精細的娘子，不惟做得好針線，諸子百家皆通。」似：精密、細密、邃密反：粗略、粗疏、魯莽、疏忽、粗忽③ 清楚、明白。元．李行道．灰闌記．第一折：「員外，你放精細者！」元．無名氏．貨郎旦．第三折：「我把這一樁事，趁我精細，對孩兒說了吧。」
絕倫	绝伦	jué lún	超越群倫，無可相比。漢書．卷八十一．匡衡傳：「平原文學匡衡，材智有餘，經學絕倫，但以無階朝廷，故隨牒在遠方。」三國演義．第七十六回：「公雖武藝絕倫，終是右臂少力。關平恐公有失，火急鳴金。」或作「絕等」、「絕群」。
線條	线条	xiàn tiáo	① 用筆繪成的直線、曲線或折線。② 形容人的身材或物品的輪廓。③ 影響服裝最重要的因素之一，它可能是由一接縫形成，亦可能是一開口、打摺、花邊、或其他設計所造成。
外形	外形	wài xíng	外在的形貌。如：「她的外形突出，演技精湛，天生就是當演員的料子。」
