#separator:Tab
#notetype:中文詞彙
#tags:三體
#columns:trad	simp	py	def
汪森		wāng sēn	《三體》中的人物
組合	<br>（组～）	zǔ hé	① 將個別零件組織成為一整體。如：「他花了一整天的時間，終於把那架飛機模型組合完畢。」反：拆開② 數學上指從相異的諸物中，每次取出定數，不管次序，而求其相配的種類數，稱為「組合」。
武警		wǔ jǐng	大陸地區指武裝警察的簡稱。
陸軍	<br>（陆军）	lù jūn	以陸地作戰為主的軍種。通常由步兵、騎兵、炮兵、裝甲兵、工兵、通信兵等兵科組成。既能單獨作戰，又能為海、空軍的後援。是澈底殲滅敵人、攻占敵陣、決定最後勝負的軍種。
軍官	<br>（军～）	jūn guān	① 武官的通稱。漢書．卷十九上．百官公卿表：「騪粟都尉，武帝軍官，不常置。」初刻拍案驚奇．卷二十一：「原來燕王裝作了軍官，同護衛數人出來微行的。」② 軍隊中管轄軍隊，從事戰鬥行為及其他法定軍務的長官，統稱為「軍官」。分為將、校、尉三級。
警察		jǐng chá	依法維持公共秩序、保護社會安寧、促進人民福利為主要任務的人。似：警員、巡捕、巡警
舉止	<br>（举～）	jǔ zhǐ	言語行動。初刻拍案驚奇．卷二：「舉止外像，一些不差，就是神色裡邊，有些微不像處。」似：行動
禮貌	<br>（礼～）	lǐ mào	表示敬意的儀容。孟子．告子下：「禮貌未衰，言弗行也，則去之。」初刻拍案驚奇．卷七：「走到張果面前打個稽首，言詞清爽，禮貌周備。」似：規矩亦作「禮路兒」。
五大三粗		wǔ dà sān cū	又大又高
橫肉	<br>（横～）	héng ròu	形容人面貌凶惡。如：「他長得一臉橫肉，人見人怕。」
髒兮兮	<br>（脏～～）	zāng xī xī	汙穢不清潔的。如：「他全身弄得髒兮兮，像個小乞丐似的。」
皮夾克	<br>（～夹～）	pí jiā kè	皮革的上衣
渾身	<br>（浑～）	hún shēn	① 全身。三國演義．第二十三回：「裸體而立，渾身盡露。」老殘遊記．第一回：「害了一個奇病，渾身潰爛。」似：全身、周身亦作「混身」。② 反正，不管如何。醒世姻緣傳．第四十一回：「那婆娘有二十二、三罷了，那漢子渾身也有二十七、八。」或作「渾是」、「渾深」。
大嗓		dà sǎng	大聲說話
抬		tái	<助> ① 舉起。如：「抬頭挺胸」、「高抬貴手」、「抬高」。② 兩人以上共同扛舉東西。如：「抬轎子」、「抬擔架」。③ 抬槓。如：「少跟我抬槓」、「三人抬不過個『理』字」。④ 合夥騙人。如：「他們倆抬我一人兒。」
況且	<br>（况～）	kuàng qiě	何況、而且。表示更進一層的語氣。初刻拍案驚奇．卷二：「次日潘父就逼兒子出外去了，滴珠獨自一個，越越悽惶，有情無緒。況且是個嬌養的女兒，新來的媳婦，摸頭路不著，沒個是處，終日悶悶過了。」紅樓夢．第六十四回：「尤氏卻知此事不妥，因而極力勸止。無奈賈珍主意已定，素日又是順從慣了的；況且他與二姐本非一母，不便深管，因而也只得由他們鬧去了。」似：何況
闖	<br>（闯）	chuǎng	<動> ① 猛衝。如：「往裡闖」、「橫衝直闖」。② 歷練、奔走謀生。如：「闖江湖」。儒林外史．第一回：「見那闖學堂的書客，就買幾本舊書。」③ 突然發生、意外引起。如：「闖禍」。
攔住	<br>（拦～）	lán zhù	阻止，禁止其前進。三國演義．第十二回：「操急走南門，高順、侯成攔住。」紅樓夢．第三十一回：「襲人忙回身攔住，笑道：『往那裡去？』」
