领域	領域	ling3yu4	domain; sphere; field; area
突破	突破	tu1po4	break through; breakthrough; to surmount or break the back of (a task etc)
载人	載人	zai4ren2	carry somebody (as on a bicycle); manned
工程	工程	gong1cheng2	engineering; engineering project
如今	如今	ru2jin1	nowadays
独立	獨立	du2li4	independent; independence; to stand alone
掌握	掌握	zhang3wo4	to grasp; to master; to control; master; know well
关键	關鍵	guan1jian4	key; crux; crucial;; door bolt
技术	技術	ji4shu4	technology; technique; skill
开展	開展	kai1zhan3	begin to develop; to launch
导航	導航	dao3hang2	navigate; navigation
系统	系統	xi4tong3	system; device; process
全球	全球	quan2qiu2	whole world; global
我国	我國	wo3guo2	China (lit. my country)
历史	歷史	li4shi3	history
复杂	複雜	fu4za2	complicated; complex
发展	發展	fa1zhan3	develop; development; growth
科技	科技	ke1ji4	science and technology
水平	水平	shui3ping2	standard; proficiency; level; horizontal
提升	提昇	ti2sheng1	promote; upgrade; raise
综合国力	綜合國力	zong1he2guo2li4	overall national strength
直接	直接	zhi2jie1	direct; immediate
体现	體現	ti3xian4	embody; reflect; represent
数据	數據	shu4ju4	data; numbers; digital
显示	顯示	xian3shi4	display; illustrate; to show
投入	投入	tou2ru4	put into operation; throw into; invest
收益	收益	shou1yi4	earnings; profit
实用	實用	shi2yong4	practical; pragmatic; functional
价值	價值	jia4zhi2	value; worth; fig. values (ethical, cultural etc)
卫星	衛星	wei4xing1	satellite
气象预报	氣象預報	qi4xiang4 yu4bao4	weather forecast
灾害	災害	zai1hai4	disaster; calamity
预防	預防	yu4fang2	prevent; take precautions against
推动	推動	tui1dong4	promote; push forward; actuate
农业	農業	nong2ye4	agriculture; farming
首	首	shou3	head; chief; first; (mw for poems and songs) (Kangxi radical 185)
保障	保障	bao3zhang4	ensure; to guarantee; to safeguard; security; safeguard; guarantee
仍	仍	reng2	still; yet; remain
挑战	挑戰	tiao3zhan4	challenge (to a fight/contest)
将	將	jiang1, jiang4	(will, shall, future tense); be ready; will; general; commander
前所未有	前所未有	qian2suo3wei4you3	unprecedented; unheard of
开眼界	開眼界	kai1yan3jie4	broaden; expand one's horizons
会议	會議	hui4yi4	meeting; conference
达	達	da2	to reach; attain; inform; prominent; until
经济	經濟	jing1ji4	economy; economic
基础	基礎	ji1chu3	base; foundation
消费	消費	xiao1fei4	consume; consumption; spending
底	底	di3	bottom; background; base
高铁	高鐵	gao1tie3	highspeed railway
正式	正式	zheng4shi4	formal; official
搁置	擱置	ge1zhi4	set aside; shelve
默契	默契	mo4qi4	tacit understanding; unvoiced pact
舆论	輿論	yu2lun4	public opinion
僵化	僵化	jiang1hua4	become rigid; to become set in a rigidly conventional pattern; to ossify
相关	相關	xiang1guan1	related; pertinent; correlation; relevant
维护	維護	wei2hu4	defend; safeguard; maintain
和平	和平	he2ping2	peace
稳定	穩定	wen3ding4	stable; steady
持续	持續	chi2xu4	continue; persist; sustainable; preservation
推进	推進	tui1jin4	propel; carry forward; to advance
无核化	無核化	wu2he2hua4	to make nuclear-free; to de-nuclearize
长治久安	長治久安	chang2zhi4jiu3'an1	long-term peace and stability (of governments)
有关各方	有關各方	you3guan1ge4fang1	parties concerned
共同	共同	gong4tong2	together; to have in common; jointly; shared
利益	利益	li4yi4	benefit; (in sb.'s) interest
当前	當前	dang1qian2	facing one; current; today's; modern; present
形势	形勢	xing2shi4	circumstances; situation; terrain
主张	主張	zhu3zhang1	to advocate; viewpoint; position
磋商	磋商	cuo1shang1	consult; exchange views
相向而行	相向而行	xiang1xiang4'er2xing2	to go in the opposite direction
增进	增進	zeng1jin4	promote; enhance
互信	互信	hu4xin4	mutual trust
缓和	緩和	huan3he2	alleviate; to moderate; to ease (tension)
局势	局勢	ju2shi4	situation; state (of affairs)
合理	合理	he2li3	rational; reasonable; equitable
避免	避免	bi4mian3	avoid; avert; prevent
刺激	刺激	ci4ji1	to excite; exciting; to stimulate; to invigorate
延续	延續	yan2xu4	continue; last longer
求大同存小异	求大同存小異	qiu2da4tong2cun2xiao3yi4	seek common ground on major issues while reserving differences on minor ones
采取	採取	cai3qu3	carry out or adopt; take (measures, policies, attitudes, etc.)
积极	積極	ji1ji2	active; positive; energetic
行动	行動	xing2dong4	to move; get around; action; operation
步骤	步驟	bu4zhou4	step; move; measure; procedure
六方会谈	六方會談	liu4fang1hui4tan2	the Six Party Talks
框架	框架	kuang4jia4	frame; framework; outline; skeleton
妥善	妥善	tuo3shan4	appropriate; proper; well-arranged
处理	處理	chu3li3	deal with; to handle; dispose of; to process; sell at a discount; punish
持态度	持態度	chi2...tai4du4	to possess a/an...attitude
谨慎	謹慎	jin3shen4	cautious; prudent
乐观	樂觀	le4guan1	optimism; optimistic; hopeful
核武	核武	he2wu3	nuclear weapon
摩擦	摩擦	mo2ca1	friction; clash (between two parties); conflict; to rub
首脑	首腦	shou3nao3	head (of state); summit (meeting); leader
峰会	峰會	feng1hui4	summit; meeting
合作	合作	he2zuo4	cooperate; collaborate; work together
协商	協商	xie2shang1	consult with; talk things over
核试验	核試驗	he2shi4yan4	nuclear test
该	該	gai1	should; deserve; it is time for (something); this (formal)
轮	輪	lun2	wheel; disk; to take turns; mw for matches and debates
制裁	制裁	zhi4cai2	punish; (economic) sanctions
标准	標準	biao1zhun3	(an official) standard; norm; criterion
里程碑	里程碑	li3cheng2bei1	milestone
率先	率先	shuai4xian1	take the lead; show initiative
实行	實行	shi2xing2	to implement; put into practice; carry out
网络	網絡	wang3luo4	network; Internet
售票	售票	shou4piao4	to sell tickets
安检	安檢	an1jian3	security check
人脸识别	人臉識別	ren2lian3shi2bie2	facial recognition
速度	速度	su4du4	speed; rate; velocity
票价	票價	piao4jia4	price of a ticket
运行	運行	yun4xing2	to move; in motion; operate; to function; Run (Windows function)
模式	模式	mo2shi4	model; pattern; method; mode
时速	時速	shi2su4	speed per hour
累计	累計	lei3ji4	to add up; to accumulate; cumulative; accumulative total; grand total; including previous figures
运送	運送	yun4song4	transport; carry
旅客	旅客	lv3ke4	traveler; tourist
亿	億	yi4	one hundred million (100,000,000)
出行	出行	chu1xing2	to set out on a long trip
方便	方便	fang1bian4	convenient; practical; useful
目标	目標	mu4biao1	target; goal; objective
取得	取得	qu3de2	obtain; acquire; to gain
良好	良好	liang2hao3	good; favorable; well
效益	效益	xiao4yi4	benefit; effectiveness
社会	社會	she4hui4	society; community
根据	根據	gen1ju4	according to; based on; basis
市场	市場	shi4chang3	marketplace; market (also in abstract); 
需求	需求	xu1qiu2	requirement; demand (economics)
