耶稣基督	耶穌基督	Ye1su1 Ji1du1	Jesus Christ
毁灭	毀滅	hui3mie4	perish; ruin; destroy
邪恶	邪惡	xie2'e4	evil; malicious
灵魂	靈魂	ling2hun2	soul; spirit; conscience
悔改	悔改	hui3gai3	repent; repentance
罪恶	罪惡	zui4'e4	sin; vice
遵守	遵守	zun1shou3	observe; abide by; comply with (commandments, agreements, etc.)
纪录	紀錄	ji4lu4	to record or document; take notes; record (as in world record)
旷野	曠野	kuang4ye3	wilderness
灭亡	滅亡	mie4wang2	be destroyed; perish; exterminate; become extinct
魔鬼	魔鬼	mo2gui3	devil; demon; monster
圣灵	聖靈	Sheng4ling2	the Holy Spirit; the Holy Ghost (in the holy trinity)
攻击	攻擊	gong1ji1	to attack; accuse; to charge; assault 
诫命	誡命	jie4ming4	commandment
审判	審判	shen3pan4	put on trial
慈悲	慈悲	ci2bei1	mercy; compassion
人类	人類	ren2lei4	humanity; human race; mankind
救赎	救贖	jiu4shu2	rescue and redeem; redemption
后裔	後裔	hou4yi4	descendant; offspring
祈祷	祈禱	qi2dao3	pray; say one's prayers; prayer
愤怒	憤怒	fen4nu4	angry; indignant; furious; anger; indignation; wrath; ire
昌盛	昌盛	chang1sheng4	prosperous
临到	臨到	lin2dao4	to befall, happen to; just before, on the point of
仆人	僕人	pu2ren2	servant
荣耀	榮耀	rong2yao4	honor; glory
征兆	徵兆	zheng1zhao4	sign, omen
拒绝	拒絕	ju4jue2	refuse; decline; reject
复活	復活	fu4huo2	resurrection
祭司	祭司	ji4si1	priest
赐给	賜給	ci4gei3	bestow; give
藉著	藉著	jie4zhe5	by means of
奇迹	奇跡	qi2ji4	miracle; miraculous; marvel
奇妙	奇妙	qi2miao4	wonderful; fantastic
见证	見證	jian4zheng4	testimony; to witness; clear proof
神圣	神聖	shen2sheng4	divine; holy; sacred
来临	來臨	lai2lin2	near; come closer
恩赐	恩賜	en1ci4	bestow favor; give charity
永恒	永恆	yong3heng2	eternal; everlasting; constant
宣讲	宣講	xuan1jiang3	explain and publicize (a policy, decree, etc.); preach (a religious doctrine)
怜悯	憐憫	lian2min3	pity; show compassion for
折磨	折磨	zhe2mo2	persecute; torment
祷告	禱告	dao3gao4	to pray; prayer
救恩	救恩	jiu4'en1	salvation (Biblical)
赎罪	贖罪	shu2zui4	to atone for one's crimes; atonement
脱离	脫離	tuo1li2	separate; break away; divorce
恼怒	惱怒	nao3nu4	be angry; anger somebody; indignant; furious
奴役	奴役	nu2yi4	enslave
敌人	敵人	di2ren2	enemy; foe
纷争	紛爭	fen1zheng1	quarrel; dispute
惩罚	懲罰	cheng2fa2	penalty; punishment; to punish; to penalize
信心	信心	xin4xin1	confidence; faith (in sb. or sth.)
凡	凡	fan2	ordinary; common; any; all; every
支会	支會	zhi1hui4	congregation; ward (in the Church of Jesus Christ of Latter-day Saints)
教会	教會	jiao4hui4	Christian church; ecclesiastic
宗教	宗教	zong1jiao4	religion
来跟从我	來跟從我	lai2gen1cong2wo3	Come and follow (learn) me.  Like Jesus invited us to...          跟从 has the meaning of learning of your master, whereas when you are just following someone you say 跟着
总会大会	總會大會	zong3hui4da4hui4	General Conference
圣殿	聖殿	sheng4dian4	temple; sanctuary
圣经	聖經	Sheng4jing1	Holy Bible
推荐书	推薦書	tui1jian4shu1	（temple) recommend; recommendation letter
祝福	祝福	zhu4fu2	blessings; wish sb. well
洗礼	洗禮	xi3li3	baptism, christening; trial, a severe test
受洗	受洗	shou4xi3	to be baptized, receive baptism
证实	證實	zheng4shi2	to confirm (sth. to be true); to verify
圣灵的恩赐	聖靈的恩賜	sheng4ling2de5en1ci4	gift of the Holy Ghost
先行礼	先行禮	xian1xing2li3	initiatory
恩道门	恩道門	en1dao4men2	endowment
印证	印證	yin4zheng4	seal; confirm; corroborate
圣餐	聖餐	sheng4can1	Sacrament; the Lord's Supper; Eucharist; Holy Communion
圣职	聖職	sheng4zhi2	priesthood
仁爱	仁愛	ren2'ai4	kindheartedness; benevolence; charity
博爱	博愛	bo2'ai4	universal love
谦卑	謙卑	qian1bei1	humble
耐心	耐心	nai4xin1	be patient; patience
软弱	軟弱	ruan3ruo4	weak; feeble
奥秘	奧秘	ao4mi4	mystery; enigma; profound; deep
旨意	旨意	zhi3yi4	decree; order
伤痛	傷痛	shang1tong4	grieved; distressed; pain from an injury or wound
慈助会	慈助會	Ci2zhu4hui4	Relief Society
长老	長老	zhang3lao3	elder
定额组	定額組	ding4'e2zu3	quorum
忠	忠	zhong1	loyalty; devotion; fidelity
耶稣基督后期圣徒教会	耶穌基督後期聖徒教會	ye1su1ji1du1hou4qi1sheng4tu2jiao4hui4	The Church of Jesus Christ of Latter-day Saints
亚伦圣职	亞倫聖職	ya4lun2sheng4zhi2	Aaronic priesthood
麦基洗德圣职	麥基洗德聖職	mai4ji1xi3de2sheng4zhi2	Melchizedek priesthood
施助病人	施助病人	shi1zhu4bing4ren2	administering to the sick
安慰	安慰	an1wei4	to comfort; to console
忠告	忠告	zhong1gao4	sincerely advise, admonish; sincere advice
安慰与忠告的祝福	安慰與忠告的祝福	an1wei4yu3zhong1gao4de5zhu4fu2	blessing of comfort and counsel
教长	教長	jiao4zhang3	patriarch; dean
教长祝福	教長祝福	jiao4zhang3zhu4fu2	patriarchal blessing
安息日	安息日	An1xi1ri4	Sabbath, Shabbos
牺牲	犧牲	xi1sheng1	to sacrifice (oneself); to give up sth; to do sth at the expense of sth else
命令	命令	ming4ling4	an order; a command
真诚	真誠	zhen1cheng2	sincere; true; genuine
称为	稱為	cheng1wei2	be called; call sth. (by a name); name (sth.)
宣布	宣布	xuan1bu4	announce; declare; proclaim
部队	部隊	bu4dui4	armed forces; troops; military unit
黑暗	黑暗	hei1'an4	dark; darkly; darkness
羔羊	羔羊	gao1yang2	lamb
召唤	召喚	zhao4huan4	summon; call; beckon
骄傲	驕傲	jiao1'ao4	proud; arrogant; conceited; take pride in
悲惨	悲慘	bei1can3	miserable; tragic
分散	分散	fen1san4	to scatter; disperse; distribute
攻打	攻打	gong1da3	attack; assault
盗匪	盜匪	dao4fei3	bandit
犯罪	犯罪	fan4zui4	crime; commit a crime
圣徒	聖徒	sheng4tu2	saint
消灭	消滅	xiao1mie4	eliminate; perish; wipe out
忧伤	憂傷	you1shang1	sad; grieved, sorrowing; worried
状态	狀態	zhuang4tai4	state of affairs; condition; state
门徒	門徒	men2tu2	disciple; follower; adherent
真实	真實	zhen1shi2	true; real; authentic
拯救	拯救	zheng3jiu4	save; rescue; deliverance
谋杀	謀殺	mou2sha1	murder
赶出	趕出	gan3chu1	drive out; expel
地狱	地獄	di4yu4	hell; inferno; underworld
证明	證明	zheng4ming2	prove; testify; confirm the truth of; identification; certificate
居民	居民	ju1min2	resident; inhabitant
企图	企圖	qi3tu2	(to) attempt; try
锡安	錫安	xi1'an1	(Bible) Zion
束缚	束縛	shu4fu4	to bind; restrict; to tie
悲伤	悲傷	bei1shang1	sad; sorrowful
圣者	聖者	sheng4zhe3	Holy One
智慧	智慧	zhi4hui4	wisdom; knowledge; intelligence
圣洁	聖潔	sheng4jie2	holy and pure
战俘	戰俘	zhan4fu2	prisoner of war
坠落	墜落	zhui4luo4	fall; drop; the Fall of Adam and Eve 
祈求	祈求	qi2qiu2	pray for
其余	其餘	qi2yu2	the others; the rest; remaining
作证	作證	zuo4zheng4	give proof; testify
降临	降臨	jiang4lin2	befall; descend; arrive; come
帮派	幫派	bang1pai4	gang; faction
受审	受審	shou4shen3	stand trial; be tried
剪除	剪除	jian3chu2	to eradicate; to exterminate
财富	財富	cai2fu4	wealth; riches; fortune
崇拜	崇拜	chong2bai4	worship; adore
叛离	叛離	pan4li2	desert, betray
发怒	發怒	fa1nu4	get angry
启示	啟示	qi3shi4	enlightenment; revelation
罪行	罪行	zui4xing2	crime; guilt; offense
山谷	山谷	shan1gu3	mountain valley; ravine
牲口	牲口	sheng1kou5	beasts of burden; animals used for their physical strength (mules, oxen, etc.)
帐篷	帳篷	zhang4peng5	tent
