乐团	樂團	yue4tuan2	orchestra; band
唱	唱	chang4	sing; call loudly; to chant
兴奋	興奮	xing1fen4	excitement; be excited
迷	迷	mi2	be lost; bewilder; crazy about; fanatic; fan; to charm
歌词	歌詞	ge1ci2	song lyrics
难过	難過	nan2guo4	have a hard time; feel sad
不如	不如	bu4ru2	not as good as; inferior to; it would be better to
现场	現場	xian4chang3	scene (of event or incident); site; live
跳	跳	tiao4	jump; hop; skip
整	整	zheng3	whole; tidy; put in order; repair; exactly; make sb. suffer
震动	震動	zhen4dong4	to shake; to shock; vibrate
漫画	漫畫	man4hua4	comics; manga
内容	內容	nei4rong2	content; substance; details
色情	色情	se4qing2	pornography
放松	放鬆	fang4song1	relax; loosen; slacken
心情	心情	xin1qing2	mood; state of mind
五月天	五月天	wu3yue4tian1	May Day (name of a rock band in TW)
算了	算了	suan4 le5	forget it; let it be; never mind
受欢迎	受歡迎	shou4huan1ying2	well received; popular
挤满	擠滿	ji3man3	crowded to bursting point; filled to overflowing; be at full capacity; jam-packed
租书店	租書店	zu1shu1dian4	book rental store
平板电脑	平板電腦	ping2ban3 dian4nao3	tablet PC
智慧型手机	智慧型手機	zhi4hui4xing2shou3ji1	smartphone
杀时间	殺時間	sha1 shi2jian1	kill time
漫画展	漫畫展	man4hua4zhan3	comic (book) exhibition
来不及	來不及	lai2bu5ji2	not enough time; too late
撞衫	撞衫	zhuang4 shan1	to wear exactly the same clothing as someone
它	它	ta1	it
塞	塞	sai1, se4, sai4	stop up; to stuff; obstruct; place of strategic importance
当季	當季	dang4ji4	in-season (fruit; vegetables); peak season
款式	款式	kuan3shi4	pattern; design; style; model; elegant; elegance; good taste
连续剧	連續劇	lian2xu4ju4	serial TV drama
主角	主角	zhu3jue2	main character; lead role; protagonist
甜美	甜美	tian2mei3	sweetness
寄	寄	ji4	send; to mail; depend on
居然	居然	ju1ran2	unexpectedly; to one's surprise; go so far as to
害	害	hai4	do harm to; cause trouble to; to adversely impact somebody
既然	既然	ji4ran2	since; given that; now that
服装	服裝	fu2zhuang1	(formal) clothing; costume; dress
媒体	媒體	mei2ti3	(news) media; medium
方式	方式	fang1shi4	way; style; fashion; manner
吸引	吸引	xi1yin3	attract; fascinate; appeal to
避免	避免	bi4mian3	avoid; avert; prevent
包包	包包	bao1bao1	purse or bag; small bump or pimple; hillock
商人	商人	shang1ren2	merchant; business person
产品	產品	chan3pin3	product; goods; merchandise
电子	電子	dian4zi3	electronic; electron
市场	市場	shi4chang3	marketplace; market (also in abstract); 
新型	新型	xin1xing2	new type; new kind; new pattern
落伍	落伍	luo4wu3	out of date; fall behind
土地	土地	tu3di4	land; territory; soil
信任	信任	xin4ren4	to trust; have confidence in
宁可	寧可	ning4ke3	would rather; it is the lesser of two evils to
跑	跑	pao3	to run; to escape; to race
支持	支持	zhi1chi2	sustain; hold out; support; stand by (e.g. international support)
文章	文章	wen2zhang1	article; essay
推销	推銷	tui1xiao1	to market; sell
其中	其中	qi2zhong1	among; in; included among these
师傅	師傅	shi1fu5	master; qualified worker; respectful form of address for service workers
农村	農村	nong2cun1	rural area; village; countryside
长大	長大	zhang3da4	grow up
帮助	幫助	bang1zhu4	help; assist; aid
拜访	拜訪	bai4fang3	pay a visit; call on
出产	出產	chu1chan3	output; produce; manufacture
由于	由於	you2yu2	due to; as a result of; thanks to
许多	許多	xu3duo1	many; a lot; much
接近	接近	jie1jin4	near; to be close to; to approach
自然	自然	zi4ran2	nature; natural; naturally
