职校	職校	zhi2xiao4	vocational school
技职	技職	ji4zhi2	technical and vocational
成功之处	成功之處	cheng2gong1zhi1chu4	The success of
高等	高等	gao1deng3	higher; high-level; advanced
紧密	緊密	jin3mi4	inseparable; close
连结	連結	lian2jie2	connect; join; link
争相	爭相	zheng1xiang1	compete for; striving with each other
典范	典範	dian3fan4	paragon; model
放眼	放眼	fang4yan3	take a broad view
出版	出版	chu1ban3	publish
总要	總要	zong3yao4	nevertheless; (separately) always
严阵以待	嚴陣以待	yan2zhen4yi3dai4	prepared for combat
直言	直言	zhi2yan2	forthright speak; talk bluntly
分析	分析	fen1xi1	analyze; analysis
身为	身為	shen1wei2	as; acting in the capacity of
文凭	文憑	wen2ping2	diploma
一技在身	一技在身	yi1ji4zai4shen1	to possess that skill
点出	點出	dian3chu1	point out
比比皆是	比比皆是	bi3bi3jie1shi4	can be found everywhere; such is the case everywhere
理论	理論	li3lun4	theory
制造业	製造業	zhi4zao4ye4	manufacturing industry
上工	上工	shang4gong1	to go to work
关键	關鍵	guan1jian4	key; crux; crucial;; door bolt
案	案	an4	(legal) case; incident; record; file
中小型企业	中小型企業	zhong1xiao3xing2qi3ye4	small and medium enterprises
投入	投入	tou2ru4	put into operation; throw into; invest
研发	研發	yan2fa1	research and development
聘请	聘請	pin4qing3	engage; hire
高阶	高階	gao1jie1	high level
人才	人才	ren2cai2	talent; talented person
升级	升級	sheng1ji2	escalate; increase; rise; go up; to update; upgrade; promotion
瑞士	瑞士	Rui4shi4	Switzerland
洛桑管理学院	洛桑管理學院	luo4sang1guan3li3xue2yuan4	Lausanne Institute (for Management Development)
奥地利	奧地利	Ao4di4li4	Austria
瑞典	瑞典	Rui4dian3	Sweden
提到	提到	ti2dao4	mention; refer to
成效	成效	cheng2xiao4	effect; result
愈	愈	yu4	recover; heal; increasingly; superior
年度	年度	nian2du4	year (e.g. school year, fiscal year, etc.); annual
评比	評比	ping2bi3	compare and evaluate (or (by comparison)
品牌	品牌	pin3pai2	brand
新兴	新興	xin1xing1	rising; up and coming; newly developing
经济体	經濟體	jing1ji4ti3	a nation's economy
进修	進修	jin4xiu1	engage in advanced studies; take a refresher course; additional studies
逐年	逐年	zhu2nian2	year after year; on an annual basis
公投	公投	gong1tou2	referendum
转向	轉向	zhuan3xiang4	change direction; turn towards
自限	自限	zi4xian4	limit oneself to or from (depending on context), confine oneself to or from distance oneself from
当初	當初	dang1chu1	at that time; at the outset; originally
迫使	迫使	po4shi3	force (sb. to do sth.)
评论	評論	ping2lun4	to comment on; to discuss; review; comment; commentary
天堂	天堂	tian1tang2	paradise; heaven
地狱	地獄	di4yu4	hell; inferno; underworld
战战兢兢	戰戰兢兢	zhan4zhan4jing1jing1	trembling with fear; with fear and trepidation; gingerly
当作	當作	dang4zuo4	treat as; regard as; look upon
肯定	肯定	ken3ding4	sure; definite; affirm; approve
再次	再次	zai4ci4	once again; for the second time
何尝	何嘗	he2chang2	How can it be that; It's not that ...; ever so; never
不自觉	不自覺	bu2zi4jue2	unaware; unconscious
体内	體內	ti3nei4	within the body; in vivo (versus in vitro)
散	散	san3, san4	to scatter; fall apart; loose; distribute; dispel
熟悉	熟悉	shu2xi1, shu2xi5	familiar with; know well (Tw shóuxī)
脸孔	臉孔	lian3kong3	face; facial expression
期待已久	期待已久	qi1dai4yi3jiu3	long-expected; hope for a while
固定	固定	gu4ding4	fixed; regular; stable
罗斯帕克斯	羅斯帕克斯	luo2si1pa4ke4si1	Ross Parkes, formerly a principal for Marsha Graham Dance Company
葛兰姆舞团	葛蘭姆舞團	Ge3lan2mu3wu3tuan2	(Martha) Graham Dance Company
做人	做人	zuo4ren2	be an upright person; behave
心法	心法	xin1fa3	mental cultivation methods
谈论	談論	tan2lun4	discuss; talk about
真诚	真誠	zhen1cheng2	sincere; true; genuine
